type,question,option_a,option_b,option_c,option_d,correct,explanation,category,difficulty,tags
single,Which security principle gives users only the permissions required to perform their assigned duties?,Least privilege,Separation of duties,Job rotation,Defense in depth,A,Least privilege limits permissions to those required for the task.,Access Controls,easy,least privilege;authorization
single,Which part of the CIA triad is primarily protected by hashing?,Availability,Confidentiality,Integrity,Non-repudiation,C,Hash functions are commonly used to detect unauthorized changes to data.,Security Operations,easy,CIA;hashing;integrity
true_false,True or False: Authentication establishes what an authenticated user is permitted to do.,True,False,,,B,Authentication verifies identity; authorization determines permitted actions.,Access Controls,easy,authentication;authorization
multiple,Which TWO are examples of authentication factors?,Password,Smart card,Username,Access control list,A|B,A password is something you know; a smart card is something you have.,Access Controls,easy,MFA;authentication factors
single,What is the primary purpose of separation of duties?,Increase system performance,Prevent a single person from controlling an entire sensitive process,Reduce password complexity,Eliminate auditing,B,"Separation of duties divides critical responsibilities to reduce fraud, error, and abuse.",Access Controls,medium,SoD;fraud
single,Which access control model assigns permissions primarily according to job functions?,RBAC,DAC,MAC,Rule-based firewalling,A,Role-Based Access Control maps permissions to organizational roles.,Access Controls,easy,RBAC
single,"In a mandatory access control environment, access decisions are mainly based on:",Data owner discretion,Security labels and clearances,User preferences,Application version,B,MAC uses centrally administered classifications/labels and subject clearances.,Access Controls,medium,MAC;classification
single,Which protocol is designed to provide secure remote command-line administration?,Telnet,FTP,SSH,HTTP,C,SSH provides encrypted remote terminal access and related secure services.,Network Security,easy,SSH;remote access
true_false,True or False: TLS is commonly used to protect data in transit.,True,False,,,A,TLS provides cryptographic protection for network communications.,Network Security,easy,TLS;encryption
multiple,Which TWO controls can help reduce the risk from network eavesdropping?,TLS,VPN encryption,Plaintext FTP,Telnet,A|B,TLS and encrypted VPNs protect data traversing untrusted networks.,Network Security,easy,VPN;TLS
single,What is the main security purpose of network segmentation?,Increase monitor resolution,Limit communication paths and reduce the impact of compromise,Replace backups,Remove authentication,B,Segmentation restricts lateral movement and separates systems with different trust requirements.,Network Security,medium,segmentation;lateral movement
single,Which device typically filters traffic according to configured network security rules?,Firewall,UPS,Printer,Hypervisor,A,A firewall permits or denies network traffic according to security policy.,Network Security,easy,firewall
single,Which attack attempts to make a service unavailable by overwhelming its resources?,Phishing,Denial-of-service,Shoulder surfing,Tailgating,B,A DoS attack targets availability by exhausting resources or capacity.,Network Security,easy,DoS;availability
